Site_Id,Location,sensor_id,Sensor Type,lng,lat,Agency
100,100 Clear Lake 2nd Outlet @ SH 146,1,Air Temperature,-95.025513,29.554639,Harris County Flood Control District
100,100 Clear Lake 2nd Outlet @ SH 146,2,Humidity Sensor,-95.025513,29.554639,Harris County Flood Control District
100,100 Clear Lake 2nd Outlet @ SH 146,3,Barometric Pressure,-95.025513,29.554639,Harris County Flood Control District
100,100 Clear Lake 2nd Outlet @ SH 146,4,WindGust,-95.025513,29.554639,Harris County Flood Control District
100,100 Clear Lake 2nd Outlet @ SH 146,5,Wind Direction,-95.025513,29.554639,Harris County Flood Control District
100,100 Clear Lake 2nd Outlet @ SH 146,6,Wind Gust,-95.025513,29.554639,Harris County Flood Control District
100,100 Clear Lake 2nd Outlet @ SH 146,100,Rain Increment,-95.025513,29.554639,Harris County Flood Control District
100,100 Clear Lake 2nd Outlet @ SH 146,103,Stream Level,-95.025513,29.554639,Harris County Flood Control District
100,100 Clear Lake 2nd Outlet @ SH 146,104,Stream Level,-95.025513,29.554639,Harris County Flood Control District
105,105 Marys Creek @ Winding Road,105,Rain Increment,-95.217353,29.543475,Harris County Flood Control District
105,105 Marys Creek @ Winding Road,108,Stream Level,-95.217353,29.543475,Harris County Flood Control District
110,110 Clear Creek @ I-45,110,Rain Increment,-95.11667,29.50834,Harris County Flood Control District
110,110 Clear Creek @ I-45,113,Stream Level,-95.11667,29.50834,Harris County Flood Control District
115,115 Cowart Creek @ Baker Road,114,Stream Level,-95.222531,29.513234,Harris County Flood Control District
115,115 Cowart Creek @ Baker Road,115,Rain Increment,-95.222531,29.513234,Harris County Flood Control District
120,120 Clear Creek @ FM 528,120,Rain Increment,-95.179061,29.517555,Harris County Flood Control District
120,120 Clear Creek @ FM 528,123,Stream Level,-95.179061,29.517555,Harris County Flood Control District
125,125 Chigger Creek @ Windsong Lane,101,SoilSaturation 5cm,-95.223522,29.495189,Harris County Flood Control District
125,125 Chigger Creek @ Windsong Lane,125,Rain Increment,-95.223522,29.495189,Harris County Flood Control District
125,125 Chigger Creek @ Windsong Lane,128,Stream Level,-95.223522,29.495189,Harris County Flood Control District
125,125 Chigger Creek @ Windsong Lane,201,SoilSaturation 20cm,-95.223522,29.495189,Harris County Flood Control District
125,125 Chigger Creek @ Windsong Lane,301,SoilSaturation 40cm,-95.223522,29.495189,Harris County Flood Control District
130,130 Clear Creek @ Bay Area Boulevard,130,Rain Increment,-95.159806,29.497498,Harris County Flood Control District
130,130 Clear Creek @ Bay Area Boulevard,133,Stream Level,-95.159806,29.497498,Harris County Flood Control District
135,135 Clear Creek @ FM 2351,1,Air Temperature,-95.196775,29.542461,Harris County Flood Control District
135,135 Clear Creek @ FM 2351,2,Humidity Sensor,-95.196775,29.542461,Harris County Flood Control District
135,135 Clear Creek @ FM 2351,3,Barometric Pressure,-95.196775,29.542461,Harris County Flood Control District
135,135 Clear Creek @ FM 2351,4,WindGust,-95.196775,29.542461,Harris County Flood Control District
135,135 Clear Creek @ FM 2351,5,Wind Direction,-95.196775,29.542461,Harris County Flood Control District
135,135 Clear Creek @ FM 2351,6,Wind Gust,-95.196775,29.542461,Harris County Flood Control District
135,135 Clear Creek @ FM 2351,135,Rain Increment,-95.196775,29.542461,Harris County Flood Control District
135,135 Clear Creek @ FM 2351,138,Stream Level,-95.196775,29.542461,Harris County Flood Control District
140,140 Turkey Creek @ FM 1959,101,SoilSaturation 5cm,-95.187552,29.583903,Harris County Flood Control District
140,140 Turkey Creek @ FM 1959,140,Rain Increment,-95.187552,29.583903,Harris County Flood Control District
140,140 Turkey Creek @ FM 1959,143,Stream Level,-95.187552,29.583903,Harris County Flood Control District
140,140 Turkey Creek @ FM 1959,201,SoilSaturation 20cm,-95.187552,29.583903,Harris County Flood Control District
140,140 Turkey Creek @ FM 1959,301,SoilSaturation 40cm,-95.187552,29.583903,Harris County Flood Control District
145,145 Clear Creek @ FM 1959,7,Stream Level,-95.215939,29.557717,Harris County Flood Control District
145,145 Clear Creek @ FM 1959,145,Rain Increment,-95.215939,29.557717,Harris County Flood Control District
150,150 Clear Creek @ Country Club Drive,101,SoilSaturation 5cm,-95.252279,29.555872,Harris County Flood Control District
150,150 Clear Creek @ Country Club Drive,150,Rain Increment,-95.252279,29.555872,Harris County Flood Control District
150,150 Clear Creek @ Country Club Drive,153,Stream Level,-95.252279,29.555872,Harris County Flood Control District
150,150 Clear Creek @ Country Club Drive,201,SoilSaturation 20cm,-95.252279,29.555872,Harris County Flood Control District
150,150 Clear Creek @ Country Club Drive,301,SoilSaturation 40cm,-95.252279,29.555872,Harris County Flood Control District
160,160 Beamer Ditch @ Hughes Road,160,Rain Increment,-95.222089,29.591725,Harris County Flood Control District
160,160 Beamer Ditch @ Hughes Road,163,Stream Level,-95.222089,29.591725,Harris County Flood Control District
170,170 Clear Creek @ Nassau Bay,101,SoilSaturation 5cm,-95.091224,29.534116,Harris County Flood Control District
170,170 Clear Creek @ Nassau Bay,169,Stream Level,-95.091224,29.534116,Harris County Flood Control District
170,170 Clear Creek @ Nassau Bay,170,Rain Increment,-95.091224,29.534116,Harris County Flood Control District
